t_s,hb
0,0.0785332756549248
0.0116666666666667,0.0994735509028292
0.0233333333333333,0.119390356738779
0.035,0.138056213100131
0.0466666666666667,0.15526053429119
0.0583333333333333,0.170812601504816
0.07,0.184544249716372
0.0816666666666667,0.196312177164749
0.0933333333333333,0.205999850291609
0.105,0.213518990361404
0.116666666666667,0.218810645202398
0.128333333333333,0.221845766636805
0.14,0.222625299664767
0.151666666666667,0.22117984989936
0.163333333333333,0.217568852655405
0.175,0.211879337151722
0.186666666666667,0.204224235083127
0.198333333333333,0.194740294033706
0.21,0.183585707569293
0.221666666666667,0.170937401122482
0.233333333333333,0.15698805362984
0.245,0.141942934508113
0.256666666666667,0.126016597794267
0.268333333333333,0.109429464572149
0.28,0.0924043965156974
0.291666666666667,0.0751632876078794
0.303333333333333,0.0579237271324159
0.315,0.0408958240253072
0.326666666666667,0.0242792003364292
0.338333333333333,0.00826022273819947
0.35,-0.00699045639890718
0.361666666666667,-0.0213200639783771
0.373333333333333,-0.0345955441757796
0.385,-0.0467049181774172
0.396666666666667,-0.0575584130172847
0.408333333333333,-0.0670891743583824
0.42,-0.0752533906000177
0.431666666666667,-0.0820301808750145
0.443333333333333,-0.0874210778328473
0.455,-0.0914490676878564
0.466666666666667,-0.0941574034600906
0.478333333333333,-0.0956080245972292
0.49,-0.0958797134711541
0.501666666666667,-0.0950660224473437
0.513333333333333,-0.093272980232752
0.525,-0.0906167477573021
0.536666666666667,-0.0872210181864279
0.548333333333333,-0.0832144352939736
0.56,-0.078728093968508
0.571666666666667,-0.0738929662395175
0.583333333333333,-0.0688374963710672
0.595,-0.0636852658392927
0.606666666666667,-0.0585528836472894
0.618333333333333,-0.0535480943908769
0.63,-0.0487680376681389
0.641666666666667,-0.0442978713716747
0.653333333333333,-0.0402096199655523
0.665,-0.0365612882777876
0.676666666666667,-0.0333964015092655
0.688333333333333,-0.0307437897604048
0.7,-0.0286175988212664
0.711666666666667,-0.027017661158215
0.723333333333333,-0.0259301514325343
0.735,-0.0253284924709621
0.746666666666667,-0.0251744531997173
0.758333333333333,-0.025419452636134
0.77,-0.0260060934360023
0.781666666666667,-0.0268697839737386
0.793333333333333,-0.0279404411590552
0.805,-0.0291443075513292
0.816666666666667,-0.030405729986261
0.828333333333333,-0.0316489413774396
0.84,-0.0327998065111111
0.851666666666667,-0.0337874938595347
0.863333333333333,-0.0345460136067278
0.875,-0.0350155035404986
0.886666666666667,-0.0351435900871183
0.898333333333333,-0.0348864393473219
0.91,-0.0342094522426474
0.921666666666667,-0.0330879335714007
0.933333333333333,-0.0315074444398567
0.945,-0.0294640710631894
0.956666666666667,-0.0269641957044774
0.968333333333333,-0.0240241559001234
0.98,-0.0206699203937545
0.991666666666667,-0.0169363305140904
1.00333333333333,-0.0128662476342167
1.015,-0.00850952695202394
1.02666666666667,-0.00392191925728719
1.03833333333333,0.000836075463422656
1.05,0.00570061663650645
1.06166666666667,0.0106058171814763
1.07333333333333,0.0154850649017854
1.085,0.0202724259928535
1.09666666666667,0.0249038391873002
1.10833333333333,0.0293183137742282
1.12,0.0334591154639486
1.13166666666667,0.0372747401777115
1.14333333333333,0.0407197927406764
1.155,0.0437557258874717
1.16666666666667,0.0463513828881124
1.17833333333333,0.0484834081244029
1.19,0.0501364721257706
1.20166666666667,0.0513033476521435
1.21333333333333,0.0519848001919039
1.225,0.0521892896672247
1.23666666666667,0.0519326106069156
1.24833333333333,0.0512373408075043
1.26,0.0501321372318109
1.27166666666667,0.048650990896384
1.28333333333333,0.0468323475152209
1.295,0.0447182421184454
1.30666666666667,0.0423532845003057
1.31833333333333,0.0397836836850141
1.33,0.0370563368841773
1.34166666666667,0.0342178393897667
1.35333333333333,0.0313135931447257
1.365,0.02838690459766
1.37666666666667,0.025478319086107
1.38833333333333,0.0226249692384853
1.4,0.019859909278543
1.41166666666667,0.017211714201518
1.42333333333333,0.0147041209717798
1.435,0.0123558746880182
1.44666666666667,0.0101805708588035
1.45833333333333,0.00818661190781398
1.47,0.00637748177325768
1.48166666666667,0.004751948035569
1.49333333333333,0.00330442243837125
1.505,0.00202537095494632
1.51666666666667,0.000901857874996632
1.52833333333333,-8.18930161392196e-05
1.54,-0.000943911506622366
1.55166666666667,-0.00170383018012253
1.56333333333333,-0.00238225845240301
1.575,-0.00300008754368578
1.58666666666667,-0.00357794654389312
1.59833333333333,-0.00413562338005002
1.61,-0.0046914639128954
1.62166666666667,-0.00526194325069516
1.63333333333333,-0.00586123383040704
1.645,-0.00650090348060139
1.65666666666667,-0.00718964532438959
1.66833333333333,-0.00793308564084762
1.68,-0.00873376957537562
1.69166666666667,-0.00959113875928001
1.70333333333333,-0.0105016235142256
1.715,-0.0114588477252597
1.72666666666667,-0.0124538291156206
1.73833333333333,-0.0134752982458045
1.75,-0.0145100666619101
1.76166666666667,-0.015543401554799
1.77333333333333,-0.016559473582216
1.785,-0.0175417817333115
1.79666666666667,-0.0184736299555796
1.80833333333333,-0.0193385727344766
1.82,-0.0201208089081562
1.83166666666667,-0.0208056124082353
1.84333333333333,-0.0213796628787714
1.855,-0.0218313801743411
1.86666666666667,-0.0221511804210487
1.87833333333333,-0.0223316408624519
1.89,-0.0223676737651155
1.90166666666667,-0.0222565841151431
1.91333333333333,-0.0219980723508621
1.925,-0.0215941975880279
1.93666666666667,-0.0210492416719724
1.94833333333333,-0.0203695222810638
1.96,-0.0195631969202488
1.97166666666667,-0.0186400055887053
1.98333333333333,-0.0176109735884298
1.995,-0.0164880874485973
2.00666666666667,-0.0152839673843175
2.01833333333333,-0.0140115677168968
2.03,-0.0126838143714964
2.04166666666667,-0.0113132992411041
2.05333333333333,-0.00991202615731493
2.065,-0.0084911058307782
2.07666666666667,-0.00706059481303989
2.08833333333333,-0.00562936003004116
2.1,-0.00420490382581419
2.11166666666667,-0.00279333261896267
2.12333333333333,-0.00139934074991146
2.135,-2.62598387810674e-05
2.14666666666667,0.00132382759132554
2.15833333333333,0.00264996539664115
2.17,0.00395210627101896
2.18166666666667,0.00523089604239521
2.19333333333333,0.00648742502627125
2.205,0.00772291745711203
2.21666666666667,0.00893848901015844
2.22833333333333,0.0101348689269217
2.24,0.0113120809663273
2.25166666666667,0.0124691990751537
2.26333333333333,0.0136041035157408
2.275,0.0147132598779827
2.28666666666667,0.0157916268693784
2.29833333333333,0.0168325193893433
2.31,0.0178275540098375
2.32166666666667,0.0187666802667783
2.33333333333333,0.0196382260575484
2.345,0.0204291524059708
2.35666666666667,0.0211251204757115
2.36833333333333,0.0217106635012554
2.38,0.0221697034634956
2.39166666666667,0.0224858126669633
2.40333333333333,0.0226426017163148
2.415,0.0226242382401464
2.42666666666667,0.0224157921783449
2.43833333333333,0.0220037069040466
2.45,0.021376282375654
2.46166666666667,0.0205241068778829
2.47333333333333,0.0194404553318974
2.485,0.0181216124120369
2.49666666666667,0.0165672710573379
2.50833333333333,0.0147807917145263
2.52,0.0127693272325049
2.53166666666667,0.0105439514447818
2.54333333333333,0.00811967588910455
2.555,0.00551540290360138
2.56666666666667,0.00275375694992045
2.57833333333333,-0.000139202172228776
2.59,-0.0031342504597843
2.60166666666667,-0.00619941790380541
2.61333333333333,-0.00930051376494668
2.625,-0.0124015879024043
2.63666666666667,-0.0154656276176268
2.64833333333333,-0.0184552340991259
2.66,-0.0213332078876457
2.67166666666667,-0.024063289223838
2.68333333333333,-0.0266108229863498
2.695,-0.0289434532452925
2.70666666666667,-0.0310317520992217
2.71833333333333,-0.0328497529396998
2.73,-0.0343755433661773
2.74166666666667,-0.0355916832091577
2.75333333333333,-0.0364855576312938
2.765,-0.0370496465965184
2.77666666666667,-0.0372816485202131
2.78833333333333,-0.0371845392005543
2.8,-0.0367664569824017
2.81166666666667,-0.0360405167243465
2.82333333333333,-0.0350245105373091
2.835,-0.0337404297180526
2.84666666666667,-0.0322139777365174
2.85833333333333,-0.0304739755536382
2.87,-0.028551614018333
2.88166666666667,-0.0264797112909893
2.89333333333333,-0.024291906794503
2.905,-0.0220217997639908
2.91666666666667,-0.0197021464388434
2.92833333333333,-0.0173640285484966
2.94,-0.0150360367721392
