case,offset_ms,residual_mean_before,residual_std_before,residual_mean_after,residual_std_after
case_01_fast_lownoise,-1.0367525761943597,-0.11595425375859898,1.0997872498252588,-0.43842111566727177,1.2694242405743699
case_02_fast_highnoise,-1.1343202907611984,-0.0758713646075371,1.3313894672191033,-0.27269165536877527,1.3054170695574743
case_03_mid_clean,0.9181617572296403,0.07154294459022144,1.465993790307725,-0.26029529818014413,1.1289034054076703
case_04_mid_modulated,-1.7410442369415478,0.40054177444576833,1.3008067034011288,-0.3405024624957491,1.1760499119184813
case_05_mid_sparse,-1.7922742989862002,0.000937365814402824,1.4692116272930202,-0.29133693317183995,1.2145255113890212
case_06_brady_lownoise,1.840652736539738,0.023183588809609596,1.6273034801203592,-0.2790208175078338,1.2537226019082008
case_07_brady_noisy,-0.00861107350237944,-0.3729257527263472,1.2747571967407487,-0.3815368262287014,1.2747571967407383
case_08_arrhythmia,0.6443975864719391,-0.3393087519094974,1.409131940475092,-0.2831464595552588,1.2830048072378755
case_09_variable_spacing,-0.9858153200856172,-0.13507236963209496,1.4257926292710121,0.12911231028227235,1.5362779191643712
case_10_high_frames,-0.586646203737871,0.29983069042597776,1.2750766485896432,-0.059542786039209906,1.227005664967059
case_11_low_frames,-0.06838553450637619,0.9496020171004476,1.1026924034479801,0.8812164825940272,1.1026924034479724
case_12_low_snr,0.04096067919314095,-0.21225737416136528,1.2866999094852667,-0.1712966949681974,1.2866999094852702
case_13_ultra_fast,20.866217200212883,-1.3176630517113768,5.151052487027962,0.7985541485015473,1.0485496425363834
case_14_ultra_slow,-2.0865593101144952,0.6465509072343755,1.6842065277854696,-0.051119513991163025,1.0590800463047
case_15_obese_patient,1.446984182872697,-0.34186390459904314,1.5654404101761803,-0.22821305505966621,1.0709197012784026
case_16_peds_small,2.378894791361505,-0.38624128317526063,1.540117465449048,-0.09067982514707751,1.2944725640423345
case_17_implant_noise,2.2911628254590823,-0.8502595021723535,0.9727997036760502,0.7266176090010877,1.296845772579517
case_18_low_gating,2.161700027705507,-0.37099415697483096,1.2834454531468447,0.6368597168845659,1.3560972155700213
case_19_sparse_gating,2.2201486159440265,0.31264512526609617,1.747934283917196,-0.19447898606252198,1.1608908086173637
case_20_vendor_mix,1.4386738226855584,0.29850873133999833,1.4824151514049897,-0.1378174459745054,1.4972597802464387
